Index,Timestamp,Value,Unit,Standardized Value,Standardized Unit,Measure,Human-Readable,Raw Value,Base64 Bytes,Reading Flags,Scale Flags,Measurement Flags,Reserved Flags
0,2014-05-10T04:31:27.218923Z,-1.3,mV,-0.0013,V,Voltage,-1.3 mV,-001.3,Fy89R11gdYmfoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
1,2014-05-10T04:31:27.567473Z,-1.3,mV,-0.0013,V,Voltage,-1.3 mV,-001.3,Fy89R11gdYmfoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
2,2014-05-10T04:31:27.917538Z,-1.3,mV,-0.0013,V,Voltage,-1.3 mV,-001.3,Fy89R11gdYmfoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
3,2014-05-10T04:31:28.267596Z,-1.2,mV,-0.0012,V,Voltage,-1.2 mV,-001.2,Fy89R11gdY2boLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
4,2014-05-10T04:31:28.617361Z,-1.1,mV,-0.0011,V,Voltage,-1.1 mV,-001.1,Fy89R11gdYiVoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
5,2014-05-10T04:31:28.967884Z,2.2,mV,0.0022,V,Voltage,2.2 mV,002.2,Fyc9R11le42boLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
6,2014-05-10T04:31:29.317814Z,5.3,mV,0.0053,V,Voltage,5.3 mV,005.3,Fyc9R11jfomfoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
7,2014-05-10T04:31:29.667723Z,5.3,mV,0.0053,V,Voltage,5.3 mV,005.3,Fyc9R11jfomfoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
8,2014-05-10T04:31:30.017481Z,5.3,mV,0.0053,V,Voltage,5.3 mV,005.3,Fyc9R11jfomfoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
9,2014-05-10T04:31:30.367244Z,5.5,mV,0.0055,V,Voltage,5.5 mV,005.5,Fyc9R11jfoueoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
10,2014-05-10T04:31:30.717276Z,5.7,mV,0.0057,V,Voltage,5.7 mV,005.7,Fyc9R11jfomVoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
11,2014-05-10T04:31:31.067434Z,6.2,mV,0.0062,V,Voltage,6.2 mV,006.2,Fyc9R11nfo2boLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
12,2014-05-10T04:31:31.417308Z,6.5,mV,0.0065,V,Voltage,6.5 mV,006.5,Fyc9R11nfoueoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
13,2014-05-10T04:31:31.767322Z,6.7,mV,0.0067,V,Voltage,6.7 mV,006.7,Fyc9R11nfomVoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
14,2014-05-10T04:31:32.117177Z,6.9,mV,0.0069,V,Voltage,6.9 mV,006.9,Fyc9R11nfoufoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
15,2014-05-10T04:31:32.667516Z,-3.541,V,-3.541,V,Voltage,-3.541 V,-3.541,Fyk/S15id4CVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
16,2014-05-10T04:31:33.016875Z,-0.009,V,-0.009,V,Voltage,-0.009 V,-0.009,Fy89T11nfYOfoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
17,2014-05-10T04:31:33.217859Z,-360.5,mV,-0.3605,V,Voltage,-360.5 mV,-360.5,Fyk/R15nfYueoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
18,2014-05-10T04:31:33.767610Z,-3.761,V,-3.761,V,Voltage,-3.761 V,-3.761,Fyk/SVVnfoCVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
19,2014-05-10T04:31:34.117311Z,-1.628,V,-1.628,V,Voltage,-1.628 V,-1.628,Fyg1T15le4efoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
20,2014-05-10T04:31:34.667069Z,-12.31,V,-12.31,V,Voltage,-12.31 V,-12.31,Fyg1RVtpf4CVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
21,2014-05-10T04:31:35.017146Z,-6.52,V,-6.52,V,Voltage,-6.52 V,-06.52,Fy89R15rfoWboLDA1Og=,DC;AUTO;RS232,,V,other_14_4
22,2014-05-10T04:31:35.366885Z,-6.52,V,-6.52,V,Voltage,-6.52 V,-06.52,Fy89R15rfoWboLDA1Og=,DC;AUTO;RS232,,V,other_14_4
25,2014-05-10T04:31:36.116487Z,-0.1,mV,-0.0001,V,Voltage,-0.1 mV,-000.1,Fy89R11nfYiVoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
26,2014-05-10T04:31:36.466453Z,-0.6,mV,-0.0006,V,Voltage,-0.6 mV,-000.6,Fy89R11nfY+eoLjA1Og=,DC;AUTO;RS232,milli,V,other_14_4
27,2014-05-10T04:31:37.216796Z,-12.53,V,-12.53,V,Voltage,-12.53 V,-12.53,Fyg1RVtrfoGfoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
28,2014-05-10T04:31:37.566577Z,-6.52,V,-6.52,V,Voltage,-6.52 V,-06.52,Fy89R15rfoWboLDA1Og=,DC;AUTO;RS232,,V,other_14_4
29,2014-05-10T04:31:37.916177Z,-6.52,V,-6.52,V,Voltage,-6.52 V,-06.52,Fy89R15rfoWboLDA1Og=,DC;AUTO;RS232,,V,other_14_4
30,2014-05-10T04:31:38.266651Z,-6.52,V,-6.52,V,Voltage,-6.52 V,-06.52,Fy89R15rfoWboLDA1Og=,DC;AUTO;RS232,,V,other_14_4
31,2014-05-10T04:31:38.616404Z,-6.51,V,-6.51,V,Voltage,-6.51 V,-06.51,Fy89R15rfoCVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
32,2014-05-10T04:31:38.966806Z,-6.51,V,-6.51,V,Voltage,-6.51 V,-06.51,Fy89R15rfoCVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
33,2014-05-10T04:31:39.316471Z,-6.51,V,-6.51,V,Voltage,-6.51 V,-06.51,Fy89R15rfoCVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
34,2014-05-10T04:31:39.666589Z,-6.51,V,-6.51,V,Voltage,-6.51 V,-06.51,Fy89R15rfoCVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
35,2014-05-10T04:31:40.016557Z,-6.51,V,-6.51,V,Voltage,-6.51 V,-06.51,Fy89R15rfoCVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
36,2014-05-10T04:31:40.366551Z,-6.51,V,-6.51,V,Voltage,-6.51 V,-06.51,Fy89R15rfoCVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
37,2014-05-10T04:31:40.716445Z,-6.51,V,-6.51,V,Voltage,-6.51 V,-06.51,Fy89R15rfoCVoLDA1Og=,DC;AUTO;RS232,,V,other_14_4
